1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.99998,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.23758,0.00007,0.00122,0.00325,0.03210,0.00481,0.00308,0.34710,0.00092,0.00271,0.00414,0.00121,0.00050,0.00174,0.00007,0.26535,0.00029,0.00017,0.02761,0.06606
0.46189,0.05665,0.10076,0.01756,0.00177,0.00162,0.12262,0.12336,0.00213,0.02473,0.01256,0.00054,0.00012,0.02026,0.00041,0.00397,0.00538,0.00561,0.02103,0.01703
0.01205,0.00000,0.97468,0.00921,0.00003,0.00133,0.00000,0.00000,0.00000,0.00001,0.00134,0.00000,0.00000,0.00001,0.00000,0.00021,0.00108,0.00002,0.00000,0.00002
0.22304,0.00085,0.00016,0.04693,0.61483,0.00013,0.00167,0.00026,0.00003,0.00062,0.00541,0.00138,0.00174,0.09387,0.00130,0.00009,0.00009,0.00003,0.00354,0.00406
0.94746,0.00000,0.00990,0.00004,0.00126,0.00028,0.00027,0.00000,0.00001,0.00007,0.00001,0.00000,0.00000,0.00015,0.00001,0.00000,0.00000,0.00004,0.00050,0.04000
0.99999,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.03402,0.00001,0.00443,0.00001,0.00298,0.00000,0.00004,0.00387,0.00017,0.27465,0.00007,0.00012,0.00031,0.00000,0.00000,0.00006,0.00014,0.00012,0.00087,0.67812
0.66731,0.00001,0.00001,0.28535,0.00000,0.00039,0.01799,0.00073,0.00003,0.00000,0.00014,0.00004,0.00000,0.02721,0.00067,0.00003,0.00004,0.00003,0.00000,0.00000
0.53993,0.00001,0.00812,0.00405,0.00060,0.00000,0.00054,0.00001,0.00014,0.00002,0.00013,0.00009,0.00001,0.00126,0.00006,0.01034,0.00029,0.00005,0.00001,0.43436
0.27756,0.00000,0.05632,0.00003,0.00002,0.00015,0.00700,0.00001,0.00000,0.00002,0.00000,0.00011,0.00000,0.00101,0.00001,0.00368,0.00001,0.00000,0.00001,0.65405
0.99995,0.00000,0.00001,0.00002,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00002,0.00000
0.87105,0.00050,0.00000,0.00063,0.00495,0.00003,0.00015,0.00007,0.00298,0.00000,0.00002,0.00004,0.00010,0.01154,0.00001,0.10746,0.00002,0.00001,0.00003,0.00042
0.99954,0.00001,0.00000,0.00018,0.00000,0.00000,0.00000,0.00007,0.00010,0.00000,0.00000,0.00000,0.00001,0.00003,0.00000,0.00002,0.00000,0.00000,0.00000,0.00004
